scenario_id,method,n,p,contamination_type,contamination_rate,contamination_strength,true_ate,n_mc,bias,mse,var,rmse,mae,coverage,n_valid,elapsed_sec,mcse_bias,mcse_mse,mcse_rmse
12,ipw_robust,1000,5,covariate,0.0,3,2,2000,-0.0178874748791684,0.0062291237865485,0.0059121180880396,0.0789247982990679,0.0633069369736242,0.9485,2000,735.490218162537,0.0017193193548668611,0.00019681576073969195,0.0012468562795301837
12,dr_robust,1000,5,covariate,0.0,3,2,2000,0.0068707931513629,0.0055664699455402,0.0055220231585907,0.074608779279253,0.0598174987048522,0.948,2000,735.490218162537,0.001661629194283535,0.00017610821922186485,0.001180211101985129
12,aipw_robust,1000,5,covariate,0.0,3,2,2000,0.0009356285318951,0.0078176112587586,0.0078206461810994,0.0884172565665697,0.0701729562467714,0.9535,2000,735.490218162537,0.0019774536885979657,0.00024733822811891557,0.0013986988384597392
12,reg_adj,1000,5,covariate,0.0,3,2,2000,0.0097197492011584,0.0054473314159516,0.0053555356592478,0.0738060391563703,0.0593887152317471,0.95,2000,735.490218162537,0.001636388654820089,0.00017231852731630997,0.001167374169417388
12,adaptive,1000,5,covariate,0.0,3,2,2000,0.0097197492011584,0.0054473314159516,0.0053555356592478,0.0738060391563703,0.0593887152317471,0.95,2000,735.490218162537,0.001636388654820089,0.00017231852731630997,0.001167374169417388
13,naive,200,10,covariate,0.0,3,2,2000,0.0088839610167204,0.0326176250764736,0.032554977802028,0.180603502392599,0.143754733566856,0.9505,2000,311.334192991257,0.00403453701197721,0.0010319715924036348,0.002857008803074918
13,ipw_robust,200,10,covariate,0.0,3,2,2000,-0.0147582199047418,0.0335931660373579,0.0333920570111067,0.183284385688901,0.146180533220896,0.95,2000,311.334192991257,0.004086077398380181,0.0010628148423147312,0.002899360025459853
13,dr_robust,200,10,covariate,0.0,3,2,2000,0.0060447561155254,0.0317322663635615,0.0317115830786046,0.178135528077814,0.141779259671142,0.952,2000,311.334192991257,0.00398193314098847,0.001003963109517023,0.0028179755053648454
13,aipw_robust,200,10,covariate,0.0,3,2,2000,0.002649927142742,0.0422597355045316,0.0422738503158277,0.20557172836879,0.165165997235163,0.9545,2000,311.334192991257,0.0045974911808413345,0.0013370385649283262,0.0032520001060888
13,reg_adj,200,10,covariate,0.0,3,2,2000,0.0110915336296813,0.0289129675204661,0.0288043475759958,0.170038135488678,0.135534637150483,0.949,2000,311.334192991257,0.003795019603111149,0.0009147554771557658,0.002689853880503985
